SOIC20,Name,Special,ADC0,AC0,DAC0,ZCD3,USARTn,SPI0,TWI0,TCA0,TCBn,TCD0,EVYS,CCL-LUT
1,GND,,,,,,,,,,,,,
2,PF6(5),RESET,,,,,,,,,,,,
3,PF7,UPDI,,,,,,SS(3),,,,,EVOUTF(3),
4,PA0,"XTAL32K1\\nXTALHF1\\nEXTCLK",,,,,"0,TxD",MOSI(3),SDA(H)(3),WO0,,,,"0,IN0"
5,PA1,"XTAL32K2\\nXTALHF2",,,,,"0,RxD",MISO(3),SCL(H)(3),WO1,,,,"0,IN1"
6,PA2,"TWI\\nFm+",AIN22,,,,"0,XCK\\n0,TxD(3)",,SDA(H),WO2,"0,WO",,EVOUTA,"0,IN2"
7,PA3,"TWI\\nFm+",AIN23,,,,"0,XDIR\\n0,RxD(3)",,SCL(H),WO3,"1,WO",,,"0,OUT"
8,PA4,,AIN24,,,,"0,TxD(3)",MOSI,,WO4,,WOA,,
9,PA5,,AIN25,,,,"0,RxD(3)",MISO,,WO5,,WOB,,
10,PA6,,AIN26,,,,"0,XCK(3)",SCK,,,,WOC,,"0,OUT(3)"
11,PA7,CLKOUT,AIN27,OUT,,ZCOUT,"0,XDIR(3)",SS,,,,WOD,EVOUTA(3),
12,PC1,,AIN29(6),,,,"1,RxD\\n0,TxD(3)","SS(3)\\nMISO(3)\\nMOSI(3)",,WO1(3),,,,"1,IN1"
13,PC2,"TWI\\nFm+",AIN30(6),AINN3(6),,ZCIN,"1,XCK\\n0,RxD(3)","SCK(3)\\nMISO(3)","SDA(C)\\nSDA(H)(3)",WO2(3),,,EVOUTC,"1,IN2"
14,PC3,"TWI\\nFm+",AIN31(6),AINP4(6),,,"1,XDIR\\n0,XCK(3)","SS(3)\\nSCK(3)","SCL(C)\\nSCL(H)(3)",WO3(3),,,,"1,OUT"
15,VDDIO2,,,,,,,,,,,,,
16,PD4,,AIN4,,,,"0,TxD(3)",MOSI(3),,WO4(3),,WOC(3),,
17,PD5,,AIN5,,,,"0,RxD(3)",MISO(3),,WO5(3),,WOD(3),,
18,PD6,,AIN6,AINP3,VOUT,,"0,XCK(3)\\n1,TxD(3)",SCK(3),,,,,,"2,OUT(3)"
19,PD7,VREFA,AIN7,AINN2,,,"0,XDIR(3)\\n1,RxD(3)",SS(3),,,,,EVOUTD(3),
20,VDD,,,,,,,,,,,,,
